timestamp,종가,시가,고가,저가,거래량,변동 %,close,open,high,low,volume,change,Exchange Rate,foreign_price_krw
2022-04-07,"43,458.0","43,195.9","43,899.0","42,804.0",2.40K,0.60%,43458.0,43195.9,43899.0,42804.0,2400.0,0.6,1219.1,52979647.8
2022-04-06,"43,199.0","45,481.0","45,515.1","43,162.0",5.84K,-5.02%,43199.0,45481.0,45515.1,43162.0,5840.0,-5.02,1212.6,52383107.4
2022-04-05,"45,481.0","46,611.1","47,173.0","45,376.0",2.59K,-2.42%,45481.0,46611.1,47173.0,45376.0,2590.0,-2.42,1216.7,55336732.7
2022-04-04,"46,611.1","46,383.0","46,900.0","45,128.0",3.45K,0.49%,46611.1,46383.0,46900.0,45128.0,3450.0,0.49,1216.1,56683758.70999999
2022-04-03,"46,383.0","45,825.0","47,414.0","45,570.0",3.01K,1.22%,46383.0,45825.0,47414.0,45570.0,3010.0,1.22,1210.7,56155898.1
2022-04-02,"45,825.0","46,301.0","47,216.0","45,640.0",2.27K,-1.03%,45825.0,46301.0,47216.0,45640.0,2270.0,-1.03,1210.7,55480327.5
2022-04-01,"46,301.0","45,535.0","46,717.0","44,245.9",3.96K,1.68%,46301.0,45535.0,46717.0,44245.9,3960.0,1.68,1210.7,56056620.7
2022-03-31,"45,535.0","47,035.0","47,665.0","45,224.4",4.66K,-3.19%,45535.0,47035.0,47665.0,45224.4,4660.0,-3.19,1210.8,55133778.0
2022-03-30,"47,035.0","47,424.0","47,675.0","46,602.0",4.30K,-0.82%,47035.0,47424.0,47675.0,46602.0,4300.0,-0.82,1220.5,57406217.5
2022-03-29,"47,424.0","47,105.0","48,099.0","46,964.0",3.38K,0.68%,47424.0,47105.0,48099.0,46964.0,3380.0,0.68,1225.7,58127596.800000004
2022-03-28,"47,105.0","46,836.0","48,159.0","46,666.0",6.38K,0.57%,47105.0,46836.0,48159.0,46666.0,6380.0,0.57,1218.3,57388021.5
2022-03-27,"46,836.0","44,536.4","46,862.0","44,440.0",5.65K,5.16%,46836.0,44536.4,46862.0,44440.0,5650.0,5.16,1219.4,57111818.400000006
2022-03-26,"44,536.4","44,337.0","44,785.0","44,112.7",1.31K,0.45%,44536.4,44337.0,44785.0,44112.7,1310.0,0.45,1219.4,54307686.160000004
2022-03-25,"44,337.0","44,003.0","45,082.0","43,607.0",4.36K,0.76%,44337.0,44003.0,45082.0,43607.0,4360.0,0.76,1219.4,54064537.800000004
2022-03-24,"44,003.0","42,885.0","44,221.0","42,670.0",3.78K,2.61%,44003.0,42885.0,44221.0,42670.0,3780.0,2.61,1212.7,53362438.1
2022-03-23,"42,882.0","42,370.0","42,995.0","41,772.0",2.75K,1.21%,42882.0,42370.0,42995.0,41772.0,2750.0,1.21,1221.4,52376074.800000004
2022-03-22,"42,370.0","41,011.0","43,319.0","40,886.0",5.00K,3.26%,42370.0,41011.0,43319.0,40886.0,5000.0,3.26,1213.7,51424469.0
2022-03-21,"41,031.0","41,264.0","41,535.0","40,544.0",2.62K,-0.53%,41031.0,41264.0,41535.0,40544.0,2620.0,-0.53,1211.1,49692644.099999994
2022-03-20,"41,249.0","42,213.0","42,292.0","40,933.0",1.81K,-2.29%,41249.0,42213.0,42292.0,40933.0,1810.0,-2.29,1220.6,50348529.4
2022-03-19,"42,214.0","41,774.0","42,373.0","41,491.0",2.14K,1.05%,42214.0,41774.0,42373.0,41491.0,2140.0,1.05,1220.6,51526408.4
2022-03-18,"41,774.0","40,942.6","42,333.0","40,236.0",3.77K,2.03%,41774.0,40942.6,42333.0,40236.0,3770.0,2.03,1220.6,50989344.4
2022-03-17,"40,942.6","41,148.0","41,451.0","40,553.0",2.29K,-0.50%,40942.6,41148.0,41451.0,40553.0,2290.0,-0.5,1240.4,50785201.04
2022-03-16,"41,148.0","39,316.6","41,728.0","38,974.0",8.54K,4.66%,41148.0,39316.6,41728.0,38974.0,8540.0,4.66,1241.7,51093471.6
2022-03-15,"39,317.0","39,717.9","39,886.9","38,212.0",5.30K,-1.01%,39317.0,39717.9,39886.9,38212.0,5300.0,-1.01,1238.6,48698036.199999996
2022-03-14,"39,717.0","37,777.1","39,977.0","37,570.0",8.05K,5.14%,39717.0,37777.1,39977.0,37570.0,8050.000000000001,5.14,1232.4,48947230.800000004
2022-03-13,"37,777.1","38,816.3","39,314.0","37,592.0",3.42K,-2.68%,37777.1,38816.3,39314.0,37592.0,3420.0,-2.68,1228.7,46416722.77
2022-03-12,"38,816.3","38,737.0","39,397.0","38,679.0",1.81K,0.20%,38816.3,38737.0,39397.0,38679.0,1810.0,0.2,1228.7,47693587.81
2022-03-11,"38,737.0","39,458.5","40,228.0","38,236.4",9.57K,-1.83%,38737.0,39458.5,40228.0,38236.4,9570.0,-1.83,1228.7,47596151.9
2022-03-10,"39,458.5","41,964.0","42,069.0","38,646.0",6.67K,-5.97%,39458.5,41964.0,42069.0,38646.0,6670.0,-5.97,1234.5,48711518.25
