timestamp,Exchange Rate,close,open,high,low,volume,change,비트코인,업비트,bitcoin,coinbase
2021-05-08,1125.5,66285197.0,64546299.5,66772538.5,64510283.5,7610.0,2.69,35,73,26,6
2021-05-09,1125.5,65589638.0,66285197.0,66355540.75,64127613.5,8480.0,-1.05,40,78,26,7
2021-05-10,1121.4,62631311.400000006,65350706.400000006,66672052.02000001,62179387.2,13490.0,-4.16,34,75,27,7
2021-05-11,1114.6,63214538.99999999,62251524.599999994,63224570.4,61067819.4,7690.0,1.55,35,83,26,7
2021-05-12,1119.1,55647247.49999999,63469756.49999999,64558640.8,55647247.49999999,14960.0,-12.32,42,77,27,6
2021-05-13,1123.5,55890754.5,55866037.5,57471519.0,54063494.1,21160.0,0.04,61,78,67,7
2021-05-14,1130.6,56436160.199999996,56243958.199999996,57850540.8,55726143.4,6050.0,0.34,41,74,42,7
2021-05-15,1130.6,52895007.94,56436160.199999996,57124921.71999999,52895007.94,9490.0,-6.27,38,57,34,5
2021-05-16,1130.6,52666626.739999995,52895007.94,55919475.99999999,51261403.99999999,19060.0,-0.43,39,53,36,5
2021-05-17,1129.5,49182948.0,52599685.5,52599685.5,47782368.0,37720.0,-6.52,67,73,50,5
2021-05-18,1133.0,48645355.0,49335352.0,51522042.0,48279169.400000006,10720.0,-1.4,37,58,39,5
2021-05-19,1133.0,41643415.0,48645355.0,48645355.0,39998752.2,67820.0,-14.39,100,92,100,8
2021-05-20,1133.1,45978931.8,41647090.5,47394173.699999996,39883307.04,25600.0,10.4,72,74,77,5
2021-05-21,1132.2,42361263.0,45910823.22,46986300.0,39839853.6,23310.0,-7.79,63,76,56,4
2021-05-22,1132.2,42553737.0,42361263.0,43773116.4,40929030.0,13560.0,0.45,63,67,51,3
2021-05-23,1132.2,39321645.660000004,42553737.0,43234189.2,36935760.6,25990.0,-7.6,76,65,58,3
2021-05-24,1126.9,43693181.010000005,39137575.07000001,44175606.900000006,39137575.07000001,15130.0,11.64,71,69,54,4
2021-05-25,1127.6,43258118.8,43720322.04,44834503.599999994,41451139.8,7770.0,-1.06,53,62,44,4
2021-05-26,1122.8,44127162.8,43073976.4,45470929.84,42689080.559999995,8610.0,2.45,42,54,38,4
2021-05-27,1118.6,42993391.0,43962098.599999994,44878232.0,41814386.599999994,5550.0,-2.2,38,51,35,3
2021-05-28,1118.0,39875706.0,43025894.599999994,43025894.599999994,39161304.0,10220.0,-7.2,44,48,36,3
2021-05-29,1118.0,38649260.0,39875706.0,41265939.0,37655358.0,7760.0,-3.08,45,39,35,2
2021-05-30,1118.0,39817570.0,38649260.0,40402284.0,37654240.0,6020.0,3.02,40,40,32,2
2021-05-31,1116.0,41632380.0,39746340.0,41632380.0,38532132.0,5980.0,4.75,39,38,30,2
2021-06-01,1113.5,40834940.1,41539117.5,41895214.800000004,40005828.0,5290.0,-1.7,62,74,72,8
2021-06-02,1107.0,41612130.0,40596568.199999996,42124671.0,40064876.1,3970.0,2.5,65,81,71,12
